Rank,Movie Title,Worldwide,Domestic,%,Foreign,%
454,I Got the Hook Up 2,"$252,293","$252,293",100%,-,-
455,Canal Street,"$251,917","$251,917",100%,-,-
456,The Twilight Zone: A 60th Anniversary Celebration,"$248,514","$248,514",100%,-,-
457,Doctor Who: The End of Time: Part One,"$247,798","$247,798",100%,-,-
458,Friendsgiving Day #1,"$246,168","$246,168",100%,-,-
459,American Woman,"$245,416","$236,637",96.4%,"$8,779",3.6%
460,Out of Blue,"$242,847","$18,779",7.7%,"$224,068",92.3%
461,Play the Flute,"$241,251","$241,251",100%,-,-
462,Ophelia,"$240,454","$50,722",21.1%,"$189,732",78.9%
463,311 Enlarged to Show Detail 3,"$238,791","$238,791",100%,-,-
464,India's Most Wanted,"$235,351","$176,858",75.1%,"$58,493",24.9%
465,Varda by Agnès,"$235,335","$160,765",68.3%,"$74,570",31.7%
466,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,"$232,973","$232,973",100%,-,-
467,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,"$230,703","$230,703",100%,-,-
468,The Last Tree,"$228,676","$10,128",4.4%,"$218,548",95.6%
469,Mine 9,"$226,421","$226,421",100%,-,-
470,Millennium Actress 2019 Re-release,"$225,250","$225,250",100%,-,-
471,Extra Ordinary,"$223,898","$164,346",73.4%,"$59,552",26.6%
472,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,"$223,858","$223,858",100%,-,-
473,Never Surrender: A Galaxy Quest Documentary,"$222,971","$222,971",100%,-,-
474,The Karate Kid 2019 Re-release,"$215,447","$215,447",100%,-,-
475,Hamlet 2019 Re-release,"$214,578","$214,578",100%,-,-
476,Tigers Are Not Afraid 2019 Re-release,"$210,138","$175,559",83.5%,"$34,579",16.5%
477,"Faith, Hope & Love","$210,091","$210,091",100%,-,-
478,Kathy Griffin: A Hell of a Story,"$208,907","$208,907",100%,-,-
479,Batman 2019 Re-release,"$207,901","$159,419",76.7%,"$48,482",23.3%
480,The Iron Orchard,"$204,881","$204,881",100%,-,-
481,Working Woman,"$204,727","$64,048",31.3%,"$140,679",68.7%
482,Hesburgh,"$204,709","$204,709",100%,-,-
483,Blink of an Eye,"$201,874","$201,874",100%,-,-
